,Width,Height,Filename,Folder,aspect_ratio,aspect_ratio_round
0,480,360,bodylotionadvertisement56,body lotion advertisement,0.75,0.8
1,1000,780,bodylotionadvertisement4,body lotion advertisement,0.78,0.8
2,3000,3000,bodylotionadvertisement40,body lotion advertisement,1.0,1.0
3,1000,750,bodylotionadvertisement17,body lotion advertisement,0.75,0.8
4,1000,1000,bodylotionadvertisement83,body lotion advertisement,1.0,1.0
5,650,280,bodylotionadvertisement95,body lotion advertisement,0.4307692307692308,0.4
6,1300,974,bodylotionadvertisement8,body lotion advertisement,0.7492307692307693,0.7
7,1000,714,bodylotionadvertisement60,body lotion advertisement,0.714,0.7
8,612,408,bodylotionadvertisement21,body lotion advertisement,0.6666666666666666,0.7
9,1300,865,bodylotionadvertisement76,body lotion advertisement,0.6653846153846154,0.7
10,450,357,bodylotionadvertisement98,body lotion advertisement,0.7933333333333333,0.8
11,626,626,bodylotionadvertisement20,body lotion advertisement,1.0,1.0
12,480,360,bodylotionadvertisement36,body lotion advertisement,0.75,0.8
13,3508,2480,bodylotionadvertisement61,body lotion advertisement,0.7069555302166477,0.7
14,1300,1009,bodylotionadvertisement82,body lotion advertisement,0.7761538461538462,0.8
15,926,1440,bodylotionadvertisement16,body lotion advertisement,1.5550755939524838,1.6
16,1300,1300,bodylotionadvertisement41,body lotion advertisement,1.0,1.0
17,1280,720,bodylotionadvertisement5,body lotion advertisement,0.5625,0.6
18,1300,865,bodylotionadvertisement89,body lotion advertisement,0.6653846153846154,0.7
19,416,280,bodylotionadvertisement66,body lotion advertisement,0.6730769230769231,0.7
20,700,1084,bodylotionadvertisement31,body lotion advertisement,1.5485714285714285,1.5
21,1300,1389,bodylotionadvertisement27,body lotion advertisement,1.0684615384615384,1.1
22,1024,682,bodylotionadvertisement70,body lotion advertisement,0.666015625,0.7
23,600,400,bodylotionadvertisement46,body lotion advertisement,0.6666666666666666,0.7
24,1000,1000,bodylotionadvertisement11,body lotion advertisement,1.0,1.0
25,1280,720,bodylotionadvertisement93,body lotion advertisement,0.5625,0.6
26,850,995,bodylotionadvertisement92,body lotion advertisement,1.1705882352941177,1.2
27,735,490,bodylotionadvertisement84,body lotion advertisement,0.6666666666666666,0.7
28,1200,1022,bodylotionadvertisement10,body lotion advertisement,0.8516666666666667,0.9
29,800,600,bodylotionadvertisement47,body lotion advertisement,0.75,0.8
30,1400,1061,bodylotionadvertisement3,body lotion advertisement,0.7578571428571429,0.8
31,1024,682,bodylotionadvertisement51,body lotion advertisement,0.666015625,0.7
32,626,417,bodylotionadvertisement71,body lotion advertisement,0.6661341853035144,0.7
33,864,683,bodylotionadvertisement26,body lotion advertisement,0.7905092592592593,0.8
34,416,280,bodylotionadvertisement67,body lotion advertisement,0.6730769230769231,0.7
35,568,946,bodylotionadvertisement25,body lotion advertisement,1.6654929577464788,1.7
36,1300,865,bodylotionadvertisement64,body lotion advertisement,0.6653846153846154,0.7
37,1280,1280,bodylotionadvertisement48,body lotion advertisement,1.0,1.0
38,850,995,bodylotionadvertisement91,body lotion advertisement,1.1705882352941177,1.2
39,618,347,bodylotionadvertisement29,body lotion advertisement,0.5614886731391586,0.6
40,626,626,bodylotionadvertisement87,body lotion advertisement,1.0,1.0
41,1200,894,bodylotionadvertisement13,body lotion advertisement,0.745,0.7
42,1600,1212,bodylotionadvertisement44,body lotion advertisement,0.7575,0.8
43,1600,1167,bodylotionadvertisement52,body lotion advertisement,0.729375,0.7
44,600,400,bodylotionadvertisement45,body lotion advertisement,0.6666666666666666,0.7
45,2000,1332,bodylotionadvertisement12,body lotion advertisement,0.666,0.7
46,800,598,bodylotionadvertisement86,body lotion advertisement,0.7475,0.7
47,440,280,bodylotionadvertisement28,body lotion advertisement,0.6363636363636364,0.6
48,1000,670,bodylotionadvertisement90,body lotion advertisement,0.67,0.7
49,480,360,bodylotionadvertisement49,body lotion advertisement,0.75,0.8
50,1500,1500,bodylotionadvertisement65,body lotion advertisement,1.0,1.0
51,800,533,bodylotionadvertisement32,body lotion advertisement,0.66625,0.7
52,596,700,bodylotionadvertisement24,body lotion advertisement,1.174496644295302,1.2
53,1000,780,bodylotionadvertisement73,body lotion advertisement,0.78,0.8
54,400,314,bodylotionadvertisement78,body lotion advertisement,0.785,0.8
55,1000,562,bodylotionadvertisement97,body lotion advertisement,0.562,0.6
56,1024,682,bodylotionadvertisement39,body lotion advertisement,0.666015625,0.7
57,1000,666,bodylotionadvertisement81,body lotion advertisement,0.666,0.7
58,1000,562,bodylotionadvertisement15,body lotion advertisement,0.562,0.6
59,2000,1332,bodylotionadvertisement42,body lotion advertisement,0.666,0.7
60,522,523,bodylotionadvertisement6,body lotion advertisement,1.0019157088122606,1.0
61,2000,2000,bodylotionadvertisement54,body lotion advertisement,1.0,1.0
62,1015,464,bodylotionadvertisement74,body lotion advertisement,0.45714285714285713,0.5
63,450,318,bodylotionadvertisement23,body lotion advertisement,0.7066666666666667,0.7
64,760,448,bodylotionadvertisement62,body lotion advertisement,0.5894736842105263,0.6
65,1300,903,bodylotionadvertisement19,body lotion advertisement,0.6946153846153846,0.7
66,1200,738,bodylotionadvertisement58,body lotion advertisement,0.615,0.6
67,250,408,bodylotionadvertisement59,body lotion advertisement,1.632,1.6
68,2000,1332,bodylotionadvertisement18,body lotion advertisement,0.666,0.7
69,1500,1099,bodylotionadvertisement63,body lotion advertisement,0.7326666666666667,0.7
70,1000,707,bodylotionadvertisement34,body lotion advertisement,0.707,0.7
71,450,318,bodylotionadvertisement22,body lotion advertisement,0.7066666666666667,0.7
72,375,500,bodylotionadvertisement75,body lotion advertisement,1.3333333333333333,1.3
73,311,400,bodylotionadvertisement55,body lotion advertisement,1.2861736334405145,1.3
74,892,600,bodylotionadvertisement43,body lotion advertisement,0.672645739910314,0.7
75,1300,1132,bodylotionadvertisement14,body lotion advertisement,0.8707692307692307,0.9
76,800,396,bodylotionadvertisement80,body lotion advertisement,0.495,0.5
77,1300,1065,bodylotionadvertisement38,body lotion advertisement,0.8192307692307692,0.8
78,2000,1332,bodylotionadvertisement79,body lotion advertisement,0.666,0.7
79,485,1390,bodylotionadvertisement96,body lotion advertisement,2.865979381443299,2.9
