,Width,Height,Filename,Folder,aspect_ratio,aspect_ratio_round
0,640,353,cosmeticadvertisement32,cosmetic advertisement,0.5515625,0.6
1,235,346,cosmeticadvertisement65,cosmetic advertisement,1.4723404255319148,1.5
2,691,691,cosmeticadvertisement73,cosmetic advertisement,1.0,1.0
3,865,1300,cosmeticadvertisement24,cosmetic advertisement,1.5028901734104045,1.5
4,600,418,cosmeticadvertisement49,cosmetic advertisement,0.6966666666666667,0.7
5,1000,667,cosmeticadvertisement69,cosmetic advertisement,0.667,0.7
6,720,1080,cosmeticadvertisement86,cosmetic advertisement,1.5,1.5
7,1442,1500,cosmeticadvertisement90,cosmetic advertisement,1.0402219140083218,1.0
8,3650,3406,cosmeticadvertisement28,cosmetic advertisement,0.9331506849315069,0.9
9,2000,1555,cosmeticadvertisement53,cosmetic advertisement,0.7775,0.8
10,1000,780,cosmeticadvertisement12,cosmetic advertisement,0.78,0.8
11,2000,2000,cosmeticadvertisement0,cosmetic advertisement,1.0,1.0
12,352,450,cosmeticadvertisement45,cosmetic advertisement,1.2784090909090908,1.3
13,390,280,cosmeticadvertisement44,cosmetic advertisement,0.717948717948718,0.7
14,515,360,cosmeticadvertisement1,cosmetic advertisement,0.6990291262135923,0.7
15,600,456,cosmeticadvertisement13,cosmetic advertisement,0.76,0.8
16,1920,1200,cosmeticadvertisement52,cosmetic advertisement,0.625,0.6
17,236,314,cosmeticadvertisement29,cosmetic advertisement,1.3305084745762712,1.3
18,1300,901,cosmeticadvertisement91,cosmetic advertisement,0.693076923076923,0.7
19,800,417,cosmeticadvertisement68,cosmetic advertisement,0.52125,0.5
20,415,513,cosmeticadvertisement87,cosmetic advertisement,1.236144578313253,1.2
21,360,429,cosmeticadvertisement48,cosmetic advertisement,1.1916666666666667,1.2
22,450,468,cosmeticadvertisement25,cosmetic advertisement,1.04,1.0
23,2000,1150,cosmeticadvertisement72,cosmetic advertisement,0.575,0.6
24,1300,902,cosmeticadvertisement64,cosmetic advertisement,0.6938461538461539,0.7
25,199,280,cosmeticadvertisement33,cosmetic advertisement,1.407035175879397,1.4
26,1366,592,cosmeticadvertisement38,cosmetic advertisement,0.4333821376281113,0.4
27,375,552,cosmeticadvertisement80,cosmetic advertisement,1.472,1.5
28,600,733,cosmeticadvertisement79,cosmetic advertisement,1.2216666666666667,1.2
29,1060,1500,cosmeticadvertisement96,cosmetic advertisement,1.4150943396226414,1.4
30,974,1390,cosmeticadvertisement55,cosmetic advertisement,1.4271047227926077,1.4
31,1600,1700,cosmeticadvertisement14,cosmetic advertisement,1.0625,1.1
32,1536,2048,cosmeticadvertisement6,cosmetic advertisement,1.3333333333333333,1.3
33,600,600,cosmeticadvertisement43,cosmetic advertisement,1.0,1.0
34,500,353,cosmeticadvertisement34,cosmetic advertisement,0.706,0.7
35,750,485,cosmeticadvertisement63,cosmetic advertisement,0.6466666666666666,0.6
36,728,455,cosmeticadvertisement75,cosmetic advertisement,0.625,0.6
37,2000,2000,cosmeticadvertisement22,cosmetic advertisement,1.0,1.0
38,1280,720,cosmeticadvertisement59,cosmetic advertisement,0.5625,0.6
39,1633,980,cosmeticadvertisement18,cosmetic advertisement,0.6001224739742804,0.6
40,700,525,cosmeticadvertisement19,cosmetic advertisement,0.75,0.8
41,540,540,cosmeticadvertisement58,cosmetic advertisement,1.0,1.0
42,865,1300,cosmeticadvertisement23,cosmetic advertisement,1.5028901734104045,1.5
43,1300,1002,cosmeticadvertisement74,cosmetic advertisement,0.7707692307692308,0.8
44,600,362,cosmeticadvertisement62,cosmetic advertisement,0.6033333333333334,0.6
45,470,603,cosmeticadvertisement35,cosmetic advertisement,1.2829787234042553,1.3
46,713,918,cosmeticadvertisement42,cosmetic advertisement,1.2875175315568022,1.3
47,1000,857,cosmeticadvertisement7,cosmetic advertisement,0.857,0.9
48,300,180,cosmeticadvertisement15,cosmetic advertisement,0.6,0.6
49,1920,1200,cosmeticadvertisement54,cosmetic advertisement,0.625,0.6
50,600,907,cosmeticadvertisement78,cosmetic advertisement,1.5116666666666667,1.5
51,2400,3000,cosmeticadvertisement97,cosmetic advertisement,1.25,1.2
52,1200,4274,cosmeticadvertisement81,cosmetic advertisement,3.5616666666666665,3.6
53,199,199,cosmeticadvertisement39,cosmetic advertisement,1.0,1.0
54,1300,989,cosmeticadvertisement41,cosmetic advertisement,0.7607692307692308,0.8
55,520,516,cosmeticadvertisement4,cosmetic advertisement,0.9923076923076923,1.0
56,400,300,cosmeticadvertisement16,cosmetic advertisement,0.75,0.8
57,600,780,cosmeticadvertisement57,cosmetic advertisement,1.3,1.3
58,1000,640,cosmeticadvertisement94,cosmetic advertisement,0.64,0.6
59,600,605,cosmeticadvertisement82,cosmetic advertisement,1.0083333333333333,1.0
