,Width,Height,Filename,Folder,aspect_ratio,aspect_ratio_round
0,731,709,hairproductadvertisement82,hair product advertisement,0.9699042407660738,1.0
1,500,240,hairproductadvertisement94,hair product advertisement,0.48,0.5
2,1425,1087,hairproductadvertisement57,hair product advertisement,0.7628070175438596,0.8
3,1017,768,hairproductadvertisement41,hair product advertisement,0.7551622418879056,0.8
4,640,637,hairproductadvertisement61,hair product advertisement,0.9953125,1.0
5,1346,2048,hairproductadvertisement36,hair product advertisement,1.5215453194650816,1.5
6,540,540,hairproductadvertisement20,hair product advertisement,1.0,1.0
7,626,522,hairproductadvertisement98,hair product advertisement,0.8338658146964856,0.8
8,236,388,hairproductadvertisement77,hair product advertisement,1.6440677966101696,1.6
9,2048,1366,hairproductadvertisement3,hair product advertisement,0.6669921875,0.7
10,660,1024,hairproductadvertisement2,hair product advertisement,1.5515151515151515,1.6
11,800,800,hairproductadvertisement99,hair product advertisement,1.0,1.0
12,689,1127,hairproductadvertisement76,hair product advertisement,1.6357039187227866,1.6
13,2560,1440,hairproductadvertisement21,hair product advertisement,0.5625,0.6
14,819,347,hairproductadvertisement37,hair product advertisement,0.4236874236874237,0.4
15,403,280,hairproductadvertisement60,hair product advertisement,0.6947890818858561,0.7
16,429,615,hairproductadvertisement17,hair product advertisement,1.4335664335664335,1.4
17,300,225,hairproductadvertisement40,hair product advertisement,0.75,0.8
18,1920,1280,hairproductadvertisement56,hair product advertisement,0.6666666666666666,0.7
19,1000,667,hairproductadvertisement95,hair product advertisement,0.667,0.7
20,640,714,hairproductadvertisement83,hair product advertisement,1.115625,1.1
21,1400,600,hairproductadvertisement67,hair product advertisement,0.42857142857142855,0.4
22,626,416,hairproductadvertisement30,hair product advertisement,0.6645367412140575,0.7
23,1920,1080,hairproductadvertisement26,hair product advertisement,0.5625,0.6
24,800,533,hairproductadvertisement71,hair product advertisement,0.66625,0.7
25,1200,1200,hairproductadvertisement5,hair product advertisement,1.0,1.0
26,613,792,hairproductadvertisement84,hair product advertisement,1.2920065252854813,1.3
27,523,473,hairproductadvertisement92,hair product advertisement,0.904397705544933,0.9
28,500,313,hairproductadvertisement9,hair product advertisement,0.626,0.6
29,900,1224,hairproductadvertisement51,hair product advertisement,1.36,1.4
30,540,540,hairproductadvertisement47,hair product advertisement,1.0,1.0
31,400,624,hairproductadvertisement10,hair product advertisement,1.56,1.6
32,400,360,hairproductadvertisement11,hair product advertisement,0.9,0.9
33,449,799,hairproductadvertisement46,hair product advertisement,1.7795100222717148,1.8
34,348,500,hairproductadvertisement50,hair product advertisement,1.4367816091954022,1.4
35,750,1078,hairproductadvertisement93,hair product advertisement,1.4373333333333334,1.4
36,550,353,hairproductadvertisement4,hair product advertisement,0.6418181818181818,0.6
37,726,1024,hairproductadvertisement70,hair product advertisement,1.4104683195592287,1.4
38,1600,1112,hairproductadvertisement27,hair product advertisement,0.695,0.7
39,390,280,hairproductadvertisement31,hair product advertisement,0.717948717948718,0.7
40,1920,1080,hairproductadvertisement66,hair product advertisement,0.5625,0.6
41,730,395,hairproductadvertisement49,hair product advertisement,0.541095890410959,0.5
42,325,400,hairproductadvertisement7,hair product advertisement,1.2307692307692308,1.2
43,1200,572,hairproductadvertisement73,hair product advertisement,0.4766666666666667,0.5
44,1060,565,hairproductadvertisement24,hair product advertisement,0.5330188679245284,0.5
45,720,405,hairproductadvertisement32,hair product advertisement,0.5625,0.6
46,972,1400,hairproductadvertisement65,hair product advertisement,1.440329218106996,1.4
47,640,540,hairproductadvertisement12,hair product advertisement,0.84375,0.8
48,1400,600,hairproductadvertisement45,hair product advertisement,0.42857142857142855,0.4
49,236,314,hairproductadvertisement53,hair product advertisement,1.3305084745762712,1.3
50,2500,1250,hairproductadvertisement90,hair product advertisement,0.5,0.5
51,730,395,hairproductadvertisement28,hair product advertisement,0.541095890410959,0.5
52,726,1024,hairproductadvertisement69,hair product advertisement,1.4104683195592287,1.4
53,400,300,hairproductadvertisement86,hair product advertisement,0.75,0.8
54,1400,600,hairproductadvertisement68,hair product advertisement,0.42857142857142855,0.4
55,1200,900,hairproductadvertisement87,hair product advertisement,0.75,0.8
56,3000,1055,hairproductadvertisement29,hair product advertisement,0.3516666666666667,0.4
57,523,473,hairproductadvertisement91,hair product advertisement,0.904397705544933,0.9
58,700,972,hairproductadvertisement52,hair product advertisement,1.3885714285714286,1.4
59,1400,600,hairproductadvertisement44,hair product advertisement,0.42857142857142855,0.4
60,549,381,hairproductadvertisement13,hair product advertisement,0.6939890710382514,0.7
61,520,720,hairproductadvertisement64,hair product advertisement,1.3846153846153846,1.4
62,1280,720,hairproductadvertisement33,hair product advertisement,0.5625,0.6
63,2167,1084,hairproductadvertisement25,hair product advertisement,0.5002307337332718,0.5
64,1300,956,hairproductadvertisement72,hair product advertisement,0.7353846153846154,0.7
65,1300,866,hairproductadvertisement6,hair product advertisement,0.6661538461538462,0.7
66,605,813,hairproductadvertisement48,hair product advertisement,1.343801652892562,1.3
67,1104,621,hairproductadvertisement14,hair product advertisement,0.5625,0.6
68,400,529,hairproductadvertisement43,hair product advertisement,1.3225,1.3
69,690,690,hairproductadvertisement55,hair product advertisement,1.0,1.0
70,520,720,hairproductadvertisement79,hair product advertisement,1.3846153846153846,1.4
71,760,760,hairproductadvertisement96,hair product advertisement,1.0,1.0
72,2560,1440,hairproductadvertisement38,hair product advertisement,0.5625,0.6
73,594,898,hairproductadvertisement80,hair product advertisement,1.5117845117845117,1.5
74,568,945,hairproductadvertisement18,hair product advertisement,1.6637323943661972,1.7
75,1200,578,hairproductadvertisement59,hair product advertisement,0.4816666666666667,0.5
76,690,690,hairproductadvertisement1,hair product advertisement,1.0,1.0
77,300,786,hairproductadvertisement75,hair product advertisement,2.62,2.6
78,2560,1440,hairproductadvertisement22,hair product advertisement,0.5625,0.6
79,660,662,hairproductadvertisement63,hair product advertisement,1.003030303030303,1.0
80,982,726,hairproductadvertisement62,hair product advertisement,0.7393075356415478,0.7
81,900,1275,hairproductadvertisement35,hair product advertisement,1.4166666666666667,1.4
82,1049,1427,hairproductadvertisement23,hair product advertisement,1.3603431839847473,1.4
83,1000,1291,hairproductadvertisement74,hair product advertisement,1.291,1.3
84,236,314,hairproductadvertisement0,hair product advertisement,1.3305084745762712,1.3
85,2000,1500,hairproductadvertisement19,hair product advertisement,0.75,0.8
86,938,420,hairproductadvertisement81,hair product advertisement,0.44776119402985076,0.4
87,1800,1000,hairproductadvertisement39,hair product advertisement,0.5555555555555556,0.6
88,400,613,hairproductadvertisement78,hair product advertisement,1.5325,1.5
89,480,360,hairproductadvertisement97,hair product advertisement,0.75,0.8
90,1280,720,hairproductadvertisement54,hair product advertisement,0.5625,0.6
91,924,1078,hairproductadvertisement42,hair product advertisement,1.1666666666666667,1.2
92,800,432,hairproductadvertisement15,hair product advertisement,0.54,0.5
