,Width,Height,Filename,Folder,aspect_ratio,aspect_ratio_round
0,1137,1920,shampooadvertisement90,shampoo advertisement,1.6886543535620053,1.7
1,1000,692,shampooadvertisement28,shampoo advertisement,0.692,0.7
2,400,300,shampooadvertisement69,shampoo advertisement,0.75,0.8
3,632,1024,shampooadvertisement86,shampoo advertisement,1.620253164556962,1.6
4,1615,1068,shampooadvertisement12,shampoo advertisement,0.6613003095975232,0.7
5,945,1575,shampooadvertisement45,shampoo advertisement,1.6666666666666667,1.7
6,568,946,shampooadvertisement53,shampoo advertisement,1.6654929577464788,1.7
7,1600,652,shampooadvertisement73,shampoo advertisement,0.4075,0.4
8,236,151,shampooadvertisement1,shampoo advertisement,0.6398305084745762,0.6
9,1024,1024,shampooadvertisement24,shampoo advertisement,1.0,1.0
10,344,200,shampooadvertisement32,shampoo advertisement,0.5813953488372093,0.6
11,600,620,shampooadvertisement65,shampoo advertisement,1.0333333333333334,1.0
12,180,233,shampooadvertisement49,shampoo advertisement,1.2944444444444445,1.3
13,353,500,shampooadvertisement48,shampoo advertisement,1.4164305949008498,1.4
14,500,707,shampooadvertisement64,shampoo advertisement,1.414,1.4
15,423,600,shampooadvertisement33,shampoo advertisement,1.4184397163120568,1.4
16,1000,713,shampooadvertisement25,shampoo advertisement,0.713,0.7
17,480,360,shampooadvertisement72,shampoo advertisement,0.75,0.8
18,1200,1689,shampooadvertisement0,shampoo advertisement,1.4075,1.4
19,1000,780,shampooadvertisement52,shampoo advertisement,0.78,0.8
20,1300,935,shampooadvertisement44,shampoo advertisement,0.7192307692307692,0.7
21,650,867,shampooadvertisement13,shampoo advertisement,1.333846153846154,1.3
22,2000,1328,shampooadvertisement68,shampoo advertisement,0.664,0.7
23,450,469,shampooadvertisement87,shampoo advertisement,1.0422222222222222,1.0
24,2387,3329,shampooadvertisement29,shampoo advertisement,1.394637620444072,1.4
25,500,297,shampooadvertisement91,shampoo advertisement,0.594,0.6
26,1500,1161,shampooadvertisement75,shampoo advertisement,0.774,0.8
27,568,946,shampooadvertisement7,shampoo advertisement,1.6654929577464788,1.7
28,2000,1332,shampooadvertisement22,shampoo advertisement,0.666,0.7
29,1116,1692,shampooadvertisement34,shampoo advertisement,1.5161290322580645,1.5
30,1024,1024,shampooadvertisement63,shampoo advertisement,1.0,1.0
31,235,292,shampooadvertisement18,shampoo advertisement,1.2425531914893617,1.2
32,534,888,shampooadvertisement59,shampoo advertisement,1.6629213483146068,1.7
33,2000,1500,shampooadvertisement79,shampoo advertisement,0.75,0.8
34,500,700,shampooadvertisement96,shampoo advertisement,1.4,1.4
35,1272,948,shampooadvertisement38,shampoo advertisement,0.7452830188679245,0.7
36,236,365,shampooadvertisement80,shampoo advertisement,1.5466101694915255,1.5
37,1178,1390,shampooadvertisement14,shampoo advertisement,1.1799660441426145,1.2
38,2000,1162,shampooadvertisement43,shampoo advertisement,0.581,0.6
39,974,1390,shampooadvertisement54,shampoo advertisement,1.4271047227926077,1.4
40,800,533,shampooadvertisement42,shampoo advertisement,0.66625,0.7
41,446,298,shampooadvertisement15,shampoo advertisement,0.6681614349775785,0.7
42,1024,1024,shampooadvertisement81,shampoo advertisement,1.0,1.0
43,1584,939,shampooadvertisement39,shampoo advertisement,0.5928030303030303,0.6
44,694,900,shampooadvertisement97,shampoo advertisement,1.2968299711815563,1.3
45,550,739,shampooadvertisement58,shampoo advertisement,1.3436363636363637,1.3
46,320,180,shampooadvertisement19,shampoo advertisement,0.5625,0.6
47,1500,1500,shampooadvertisement62,shampoo advertisement,1.0,1.0
48,260,280,shampooadvertisement35,shampoo advertisement,1.0769230769230769,1.1
49,375,500,shampooadvertisement23,shampoo advertisement,1.3333333333333333,1.3
50,1045,1390,shampooadvertisement74,shampoo advertisement,1.3301435406698565,1.3
51,1600,1300,shampooadvertisement6,shampoo advertisement,0.8125,0.8
52,1200,1689,shampooadvertisement61,shampoo advertisement,1.4075,1.4
53,480,334,shampooadvertisement36,shampoo advertisement,0.6958333333333333,0.7
54,1000,780,shampooadvertisement20,shampoo advertisement,0.78,0.8
55,660,1024,shampooadvertisement5,shampoo advertisement,1.5515151515151515,1.6
56,1200,1896,shampooadvertisement98,shampoo advertisement,1.58,1.6
57,1225,1600,shampooadvertisement77,shampoo advertisement,1.3061224489795917,1.3
58,978,1390,shampooadvertisement57,shampoo advertisement,1.4212678936605316,1.4
59,1280,720,shampooadvertisement41,shampoo advertisement,0.5625,0.6
60,568,946,shampooadvertisement16,shampoo advertisement,1.6654929577464788,1.7
61,768,576,shampooadvertisement82,shampoo advertisement,0.75,0.8
62,675,900,shampooadvertisement9,shampoo advertisement,1.3333333333333333,1.3
63,319,246,shampooadvertisement94,shampoo advertisement,0.7711598746081505,0.8
64,918,1390,shampooadvertisement8,shampoo advertisement,1.514161220043573,1.5
65,942,1454,shampooadvertisement95,shampoo advertisement,1.5435244161358812,1.5
66,640,714,shampooadvertisement83,shampoo advertisement,1.115625,1.1
67,403,280,shampooadvertisement17,shampoo advertisement,0.6947890818858561,0.7
68,729,313,shampooadvertisement40,shampoo advertisement,0.42935528120713307,0.4
69,2441,3318,shampooadvertisement56,shampoo advertisement,1.3592789840229413,1.4
